"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1642","RT @BDUTT: A must watch interview with @pchidambaram_in on Lessons from Kashmir. Says  ""BJP-PDP coalition frightens Kashmiris"" https://t.co…",FALSE,0,NA,2016-07-20 18:06:32,FALSE,NA,"755826239022260224",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AarifaMushir",118,TRUE,FALSE,NA,NA
"1643","RT @Airavta: Tagore - Where the mind is without fear and head is held high.

Modi - Terrorism, rape, corporate loot &amp; corruption, I am here…",FALSE,0,NA,2016-07-20 18:06:31,FALSE,NA,"755826232273534976",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","aapmltofficial",13,TRUE,FALSE,NA,NA
"1644","RT @NaMo_Govt: Modi Govt's Direct Benefit Transfer for LPG scheme #PAHAL saves <U+20B9>21,261Crore in least 2 year !! #TransformingIndia https://t…",FALSE,0,NA,2016-07-20 18:06:26,FALSE,NA,"755826215357931520",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jhaalok",23,TRUE,FALSE,NA,NA
"1645","RT @dibang: Gujarat #Dalit Attacks: 
The youth were doing their job, as they have been expected for centuries
https://t.co/rUTsUht8zH",FALSE,0,NA,2016-07-20 18:06:26,FALSE,NA,"755826213172707329",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Anti_Modi",64,TRUE,FALSE,NA,NA
"1646","RT @Retributions: A powerful recognition of the growing Dalit angst---one of the key constituencies behind Modi's conquest of UP. https://t…",FALSE,0,NA,2016-07-20 18:06:25,FALSE,NA,"755826207547990017",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","pri1us",7,TRUE,FALSE,NA,NA
"1647","RT @Atheist_Krishna: It is understandable that you hate Modi, but how on earth can any sane minded person support Kejriwal.",FALSE,0,NA,2016-07-20 18:06:16,FALSE,NA,"755826171766460420",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","blankfaces_",127,TRUE,FALSE,NA,NA
"1648","@timesofindia  ...Useful for Modi's sightseeing trips ...",FALSE,0,"timesofindia",2016-07-20 18:06:13,FALSE,"755799492222259200","755826159263289345","134758540","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TheFrenchBeard",0,FALSE,FALSE,NA,NA
"1649","RT @DaaruBaazMehta: Modi Govt 'paying' newspapers to carry Minister's interviews

RTI Exposes rampant misuse of Funds for 'Paid News' https…",FALSE,0,NA,2016-07-20 18:06:12,FALSE,NA,"755826156163792896",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SatyaPAgarwal",151,TRUE,FALSE,NA,NA
"1650","RT @INCIndia: CAG audit slams Modi Govt's claims of savings in the LPG scheme. Please stop lying, Mr Prime Minister! https://t.co/i5mouOGjRG",FALSE,0,NA,2016-07-20 18:06:12,FALSE,NA,"755826154666328064",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kthakur76",248,TRUE,FALSE,NA,NA
"1651","RT @SeniorLeaderAAP: Arun Jaitley photo bombs Modi ji's speech...

..while sleeping! 

#LookClosely https://t.co/lSKqfUnD6G",FALSE,0,NA,2016-07-20 18:06:10,FALSE,NA,"755826147984715777",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","achinth",96,TRUE,FALSE,NA,NA
"1652","@sanjayuvacha  he will protest. I was only walking in the foot steps of my dear leader Narendra ""50 Crore girlfriend"" Modi.",FALSE,0,"sanjayuvacha",2016-07-20 18:06:10,FALSE,NA,"755826145308708864","164335216","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ajitrkhegde",0,FALSE,FALSE,NA,NA
"1653","RT @narendramodi: Spoke about how compassion towards poor &amp; welfare of farmers was at the core of Baba Banda Singh Bahadur Ji’s ideals http…",FALSE,0,NA,2016-07-20 18:06:07,FALSE,NA,"755826135057862656",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","kamleshbirar",1966,TRUE,FALSE,NA,NA
"1654","RT @NaMo_Govt: Modi Govt's Direct Benefit Transfer for LPG scheme #PAHAL saves <U+20B9>21,261Crore in least 2 year !! #TransformingIndia https://t…",FALSE,0,NA,2016-07-20 18:06:03,FALSE,NA,"755826116938436608",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PrabhatTw",23,TRUE,FALSE,NA,NA
"1655","RT @Babu_Bhaiyaa: AAP system-
-one minister tweets he did smthing
-2nd Congratulates him
-Kejriwal quotes the tweet of 2nd minitser &amp; abuse…",FALSE,0,NA,2016-07-20 18:06:03,FALSE,NA,"755826116275892224",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","aatulme89",490,TRUE,FALSE,NA,NA
"1656","RT @DaaruBaazMehta: Ha ha Ha

@ArvindKejriwal takes a Jibe at PM Modi for not respecting Delhi CM's stature.

RT https://t.co/y76ylEZ3Cd",FALSE,0,NA,2016-07-20 18:06:02,FALSE,NA,"755826113440460800",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","8e82a07610354fc",113,TRUE,FALSE,NA,NA
"1657","RT @Lakkad_Bagga: PM Modi about to take aerial route because of #DelhiFloods @RoflGandhi_ https://t.co/vSHEUKHN3Y",FALSE,0,NA,2016-07-20 18:05:59,FALSE,NA,"755826099464966144",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MeghaThak",5,TRUE,FALSE,NA,NA
"1658","RT @IndiaSpeaksPR: Ahmad Patel has correctly understood the driving force behind Modi's 2014win &amp; is executing a nefarious counter.No respo…",FALSE,0,NA,2016-07-20 18:05:55,FALSE,NA,"755826083983831041",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","harsha_raghu",49,TRUE,FALSE,NA,NA
"1659","RT @sivaramanvallur: Rogue Farook Abdullah's father was kept in captive for many yrs under treason now calls Modi a dictator but Indira?? h…",FALSE,0,NA,2016-07-20 18:05:55,FALSE,NA,"755826082352287744",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JerryByomkesh",2,TRUE,FALSE,NA,NA
